Descrizione Originale,Tipologia,Forma,Diametro,Diametro Nominale,Raggio,Passo,Tolleranza,Lunghezza,Angolo,Rotazione,Materiale,Rivestimento,Stato,Ubicazione,Codice,Serial Number,Fornitore,Quantità,Lavorazione,Sistema di misura,Alias,Check
FRESA NUDA SFERICA D1.5,Fresa,Sferica,D1.5,1.5,0.75,,,,,Dx,,Nuda,NUOVO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA NUDA SFERICA D1.5,
FRESA NUDA SFERICA D2,Fresa,Sferica,D2,2.0,1.0,,,,,Dx,,Nuda,NUOVO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA NUDA SFERICA D2,
FRESA METALLO DURO SFERICA D4,Fresa,Sferica,D4,4.0,2.0,,,,,Dx,METALLO DURO,,USATO,BELOTTIC2,,,BURZONI,2,Fresatura,Metrico,FRESA METALLO DURO SFERICA D4,
FRESA METALLO DURO SFERICA D4,Fresa,Sferica,D4,4.0,2.0,,,,,Dx,METALLO DURO,,USATO,BELOTTIC2,,,BURZONI,1,Fresatura,Metrico,FRESA METALLO DURO SFERICA D4,
FRESA METALLO DURO SFERICA D4,Fresa,Sferica,D4,4.0,2.0,,,,,Dx,METALLO DURO,,USATO,BELOTTIC2,,,BURZONI,1,Fresatura,Metrico,FRESA METALLO DURO SFERICA D4,
FRESA NUDA SFERICA D4,Fresa,Sferica,D4,4.0,2.0,,,,,Dx,,Nuda,USATO,BELOTTIC2,,HM6/02,RIME,1,Fresatura,Metrico,FRESA NUDA SFERICA D4,
FRESA SFERICA NUDA D20,Fresa,Sferica,D20,20.0,10.0,,,,,Dx,,Nuda,USATO,BELOTTIC2,,FR19.8,GAIT,1,Fresatura,Metrico,FRESA SFERICA NUDA D20,
FRESA SFERICA NUDA D20,Fresa,Sferica,D20,20.0,10.0,,,,,Dx,,Nuda,USATO,BELOTTIC2,,FR19.98,GAIT,1,Fresatura,Metrico,FRESA SFERICA NUDA D20,
FRESA NUDA SFERICA D12 X40X150,Fresa,Sferica,D12,12.0,6.0,40.0,,,,Dx,,Nuda,USATO,BELOTTIC2,,Z2 R6+SO,,1,Fresatura,Metrico,FRESA NUDA SFERICA D12 X40X150,X40X150
FRESA SFERICA NUDA D6,Fresa,Sferica,D6,6.0,3.0,,,,,Dx,,Nuda,USATO,,,,,1,Fresatura,Metrico,FRESA SFERICA NUDA D6,
FRESA NUDA SFERICA D3,Fresa,Sferica,D3,3.0,1.5,,,,,Dx,,Nuda,USATO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA NUDA SFERICA D3,
FRESA METALLO DURO SFERICA D3,Fresa,Sferica,D3,3.0,1.5,,,,,Dx,METALLO DURO,,USATO,BELOTTIC2,,,UOP,1,Fresatura,Metrico,FRESA METALLO DURO SFERICA D3,
FRESA SFERICA METALLO DURO D6,Fresa,Sferica,D6,6.0,3.0,,,,,Dx,METALLO DURO,,NUOVO,BELOTTIC2,,,BURZONI,1,Fresatura,Metrico,FRESA SFERICA METALLO DURO D6,
FRESA SFERICA NUDA GRATTUGIA D6,Fresa,Sferica,D6,6.0,3.0,,,,,Dx,,Nuda,USATO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA SFERICA NUDA GRATTUGIA D6,GRATTUGIA
WNT FRESA SFERICA METALLO DURO D4,Fresa,Sferica,D4,4.0,2.0,,,,,Dx,METALLO DURO,,NUOVO,BELOTTIC2,,50 953 041,CERATIZIT,1,Fresatura,Metrico,WNT FRESA SFERICA METALLO DURO D4,WNT
FRESA NUDA SFERICA D6,Fresa,Sferica,D6,6.0,3.0,,,,,Dx,,Nuda,NUOVO,BELOTTIC2,,53 609 060,CERATIZIT,1,Fresatura,Metrico,FRESA NUDA SFERICA D6,
FRESA SFERICA METALLO DURO D8,Fresa,Sferica,D8,8.0,4.0,,,,,Dx,METALLO DURO,,USATO,BELOTTIC2,,,BURZONI,3,Fresatura,Metrico,FRESA SFERICA METALLO DURO D8,
FRESA RIAFFILATA NUDA SFERICA D8,Fresa,Sferica,D8,8.0,4.0,,,,,Dx,,Nuda,USATO,BELOTTIC2,,,RAFF,1,Fresatura,Metrico,FRESA RIAFFILATA NUDA SFERICA D8,RIAFFILATA
FRESA SFERICA NUDA D8,Fresa,Sferica,D8,8.0,4.0,,,,,Dx,,Nuda,NUOVO,BELOTTIC2,,53 511 080,CERATIZIT,1,Fresatura,Metrico,FRESA SFERICA NUDA D8,
FRESA SFERIC DIAMANTATA D10,Fresa,Candela,D10,10.0,,,,,,Dx,,Diamante,USATO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA SFERIC DIAMANTATA D10,DIAMANTATA SFERIC
WNT FRESA SFERICA NUDA D10.075,Fresa,Sferica,D10.075,10.075,5.0375,,,,,Dx,,Nuda,USATO,BELOTTIC2,,53 511 100,CERATIZIT,1,Fresatura,Metrico,WNT FRESA SFERICA NUDA D10.075,WNT
FRESA SFERICA METALLO DURO D10,Fresa,Sferica,D10,10.0,5.0,,,,,Dx,METALLO DURO,,USATO,BELOTTIC2,,,BURZONI,1,Fresatura,Metrico,FRESA SFERICA METALLO DURO D10,
FRESA SFERICA NUDA D10,Fresa,Sferica,D10,10.0,5.0,,,,,Dx,,Nuda,USATO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA SFERICA NUDA D10,
FRESA A INSERTI SFERICA D40,Fresa,Inserti,D40,40.0,20.0,,,,,Dx,,,USATO,BELOTTIC2,,FCS 02 04033 RD,FAPIL,1,Fresatura,Metrico,FRESA A INSERTI SFERICA D40,SFERICA A
FRESA SFERICA A GRATTUGIA DIAMANTATA D9.3,Fresa,Sferica,D9.3,9.3,4.65,,,,,Dx,,Diamante,USATO,BELOTTIC2,,,RAFF,1,Fresatura,Metrico,FRESA SFERICA A GRATTUGIA DIAMANTATA D9.3,DIAMANTATA GRATTUGIA A
FRESA SFERICA NUDA D12 X30,Fresa,Sferica,D12,12.0,6.0,30.0,,,,Dx,,Nuda,USATO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA SFERICA NUDA D12 X30,
FRESA SFERICA NUDA D12 X53,Fresa,Sferica,D12,12.0,6.0,53.0,,,,Dx,,Nuda,USATO,BELOTTIC2,,,,2,Fresatura,Metrico,FRESA SFERICA NUDA D12 X53,
FRESA SFERICA NUDA D10.3,Fresa,Sferica,D10.3,10.3,5.15,,,,,Dx,,Nuda,USATO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA SFERICA NUDA D10.3,
FRESA SFERICA NUDA D18.4,Fresa,Sferica,D18.4,18.4,9.2,,,,,Dx,,Nuda,USATO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA SFERICA NUDA D18.4,
FRESA SFERICA NUDA D17.5,Fresa,Sferica,D17.5,17.5,8.75,,,,,Dx,,Nuda,USATO,BELOTTIC2,,,,1,Fresatura,Metrico,FRESA SFERICA NUDA D17.5,
